Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Portumna Forest Park - Woodland Walking Trail,http://www.irishtrails.ie/Trail/Portumna-Forest-Park---Woodland-Walking-Trail/2341/,,-8.24540560549314,53.0811823331613,Galway,Portumna,Ireland,Walking
Belleek - Multi Access,http://www.irishtrails.ie/Trail/Belleek---Multi-Access/421/,,-9.14440483695682,54.1266814870017,Mayo,Ballina,Ireland,"Walking,Forest Park,Park and Forest Walk"
Kilmaine - Church Walk,http://www.irishtrails.ie/Trail/Kilmaine---Church-walk/633/,,-9.1227567,53.5811547,Mayo,Kilmaine,Ireland,Walking
Kilmaine - Killernan loop,http://www.irishtrails.ie/Trail/Kilmaine---Killernan-loop/632/,,-9.1227567,53.5811547,Mayo,Kilmaine,Ireland,Walking
Kilmaine -  Nature walk,http://www.irishtrails.ie/Trail/Kilmaine---Nature-walk/634/,,-9.1227567,53.5811547,Mayo,Kilmaine,Ireland,Walking
Ballinastoe Mountain Bike Trail,http://www.irishtrails.ie/Trail/Ballinastoe-Mountain-Bike-Trail/311/,,-6.21388196574741,53.1103925330322,Wicklow,Roundwood,Ireland,Cycling
Portumna Forest Park - Bonaveen Cycling Trail,https://www.sportireland.ie/outdoors/cycling-off-road/trails/portumna-forest-park-bonaveen-cycling-trail?county=45&grade=All&length=All#list,,-8.2452553,53.0905196,Galway,Portumna,Ireland,Cycling
Fastnet Trails - Becher's Loop Walk,http://www.ballydehob.ie,+353(0)2837640,-9.26336237060547,51.5550314949626,Cork,Skibbereen,Ireland,Walking
Fastnet Trails - The Butter Road,http://www.ballydehob.ie,+353(0)2837640,-9.54560080644535,51.5263914665759,Cork,Schull,Ireland,Walking
Fastnet Trails - The Kilcoe Linear Walk,http://www.ballydehob.ie,+353(0)2837640,-9.4625167,51.5624755,Cork,Ballydehob,Ireland,Walking
Fastnet Trails - The Ballydehob Linear Walk,http://www.ballydehob.ie,+353(0)2837640,-9.26519027371728,51.548848016856,Cork,Skibbereen,Ireland,Walking
Fastnet Trails - The Rossbrin Loop Walk,http://www.ballydehob.ie,+353(0)2837640,-9.46101529117459,51.5625255141664,Cork,Ballydehob,Ireland,Walking
Fastnet Trails - The Deereenard Loop Walk,http://www.ballydehob.ie,+353(0)2837640,-9.26519027371728,51.548848016856,Cork,Skibbereen,Ireland,Walking
Fastnet Trails - The Lisheenacrehig Loop Walk,http://www.ballydehob.ie,+353(0)2837640,-9.26519027371728,51.548848016856,Cork,Skibbereen,Ireland,Walking
Fastnet Trails - The Ilen River Loop Walk,http://www.ballydehob.ie,+353(0)2837640,-9.26519027371728,51.548848016856,Cork,Skibbereen,Ireland,Walking
Broadford Ashford Walking Trails - Lough Ghé Way,http://walkbroadfordashford.com/trail/lough-ghe-way/,,-9.059633,52.360564,Limerick,,Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk"
Kinballycrowie Loop - Lúb Cheann Bhaile Cruaiche,http://www.therosses.ie/walking.html,+353(0)749542774,-8.43559877881694,54.9828780106642,Donegal,Burtonport,Ireland,"Walking,Activity Operator"
Kilbrittain Trails Castle Walk,http://kilbrittaintrails.ie,+353(0)868414981,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Kilbrittain Trails Estuary Walk,http://kilbrittaintrails.ie,+353(0)868414981,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Kilbrittain Trails Rathclaren Walk,http://kilbrittaintrails.ie,+353(0)868414981,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Kilbrittain Trails Kiln Walk,http://kilbrittaintrails.ie,+353(0)868414981,-8.6917,51.6736,Cork,Kilbrittain,Ireland,Walking
Avoca Red Kite Loop,http://www.irishtrails.ie/trail/Avoca-Red-Kite-Loop/694/,,-6.21209726779295,52.8600239151687,Wicklow,,Ireland,"Walking,Forest Park,Park and Forest Walk"
East Kilkenny Cycle Loop,http://www.irishtrails.ie/Trail/East-Kilkenny-Cycle-Route/1292/,,-7.25060024693527,52.6504273307544,Kilkenny,Kilkenny City,Ireland,Cycling
North Kilkenny Cycle Loop,http://irishtrails.ie/trail/North-Kilkenny-Cycle-Loop/1303/,,-7.25131103232422,52.650656770001,Kilkenny,,Ireland,Cycling
South Kilkenny Cycle Loop,http://irishtrails.ie/Trail/South-Kilkenny-Cycle-Loop/1302/,,-7.25121442419504,52.6505472970987,Kilkenny,Kilkenny City,Ireland,"Cycling,Activity Operator"
The Ecology Centre Seaweed Walks,http://theecologycentre.ie,+353(0)868278031,-9.9482317,53.5536034,Galway,Letterfrack,Ireland,"Food and Drink,Restaurant,Walking"
Tory Hill - Sliabh Greine Loop,,,-7.17550685964235,52.3678781162157,Kilkenny,Mullinavat,Ireland,Walking
Skibbereen Cycle Hub,,,-9.26789578932462,51.5490124316153,Cork,Skibbereen,Republic of Ireland,Cycling
Pilgrim's Road to Clonmacnoise,,,-7.68908955335417,53.3259095709178,Offaly,,Ireland,Cycling
The Old Railway Walk - Siúlóid an tSean Bhóthar Iarainn,http://www.therosses.ie/walking.html,+353(0)749542774,-8.43559877881694,54.9828780106642,Donegal,Burtonport,Ireland,"Walking,Activity Operator"
Mount Hillary Loop,http://www.irishtrails.ie/Trail/Mount-Hillary---Mount-Hillary-loop/93/,,-8.843333,52.123333,Cork,Banteer,Ireland,Walking
